                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 2.2175,                 2.2474,                 2.2692,                 1.9495,                0.03636,                0.08333,                0.01023,                 0.0028,                0.04761,                0.13333,                0.01967,                0.00391,                 5.7962,                 6.8217,                 53.988,                 6.8822,              0.0015845,              0.0015845,              0.0015845
                     27,                 2.0619,                  2.116,                 2.2252,                 1.9336,                0.50354,                0.13333,                 0.0028,                0.00078,                0.50533,                0.13333,                0.00264,                0.00088,                 3.2281,                 4.7008,                 12.719,                 2.2971,              0.0015812,              0.0015812,              0.0015812
                     28,                 2.1237,                 2.1822,                 2.1551,                 1.9114,                0.00327,                0.11667,                0.01238,                0.00174,                0.00455,                    0.1,                 0.0019,                0.00061,                 3.3946,                 5.0956,                 4.7118,                 2.4088,              0.0015779,              0.0015779,              0.0015779
                     29,                 2.0818,                  1.903,                 2.0322,                 1.9165,                0.50861,                0.03333,                0.50306,                0.10624,                0.50972,                0.03333,                0.10491,                0.01668,                 3.7092,                 3.7859,                 6.9692,                  2.463,              0.0015746,              0.0015746,              0.0015746
                     30,                 2.0667,                 1.7075,                 2.0073,                 1.8161,                0.00083,                0.63333,                0.00296,                 0.0011,                0.50076,                0.03333,                0.00268,                0.00039,                 3.5504,                 5.6984,                 7.6843,                  2.431,              0.0015713,              0.0015713,              0.0015713
                     31,                 2.1132,                 1.7853,                 1.9915,                 1.8187,                0.00083,                0.63333,                0.00296,                 0.0011,                0.50076,                0.03333,                0.00268,                0.00039,                 4.0023,                 10.346,                 8.2744,                 7.2057,               0.001568,               0.001568,               0.001568
                     32,                 2.1152,                 1.6726,                 2.0585,                 1.8478,                0.00083,                0.63333,                0.00296,                 0.0011,                0.50076,                0.03333,                0.00268,                0.00039,                 5.9608,                 7.3542,                 7.2317,                 13.608,              0.0015647,              0.0015647,              0.0015647
                     33,                 2.0678,                 1.7496,                 2.0381,                 1.8406,                0.00081,                0.58333,                0.00231,                0.00058,                0.00044,                0.53333,                0.00206,                0.00041,                 3.9109,                 5.8562,                 5.0456,                 6.2101,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.9912,                 1.7482,                 1.9653,                 1.7389,                0.00042,                   0.05,                0.00015,                  2e-05,                0.00042,                   0.05,                0.00015,                  2e-05,                  3.868,                 4.9168,                 24.094,                 2.3999,              0.0015581,              0.0015581,              0.0015581
                     35,                 2.0652,                 1.9023,                 1.9324,                 1.7936,                 0.0002,                   0.05,                0.00012,                  5e-05,                      0,                      0,                      0,                      0,                 4.3182,                 6.4388,                 43.023,                  4.015,              0.0015548,              0.0015548,              0.0015548
                     36,                 2.1155,                  1.681,                 1.8867,                 1.7527,                0.00998,                0.21667,                0.00747,                0.00295,                0.00892,                0.11667,                0.00741,                0.00241,                 2.6909,                 6.4224,                 4.3254,                 2.3787,              0.0015515,              0.0015515,              0.0015515
                     37,                 2.0568,                 1.8779,                 1.9096,                 1.8163,                0.00235,                0.11667,                0.00252,                0.00089,                0.00268,                0.13333,                0.00295,                0.00094,                 3.6236,                 8.9878,                 4.0376,                 2.6295,              0.0015482,              0.0015482,              0.0015482
                     38,                 2.0797,                 1.7315,                 1.9493,                 1.7277,                 0.5428,                0.01667,                0.00965,                0.00112,                0.63354,                0.01667,                0.01761,                0.00704,                 4.7356,                 16.078,                 5.8211,                  4.391,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.9999,                 1.6896,                 1.9213,                  1.771,                0.00126,                0.56667,                0.00388,                0.00045,                0.00029,                0.01667,                0.00077,                  8e-05,                 4.5775,                 13.792,                  5.813,                 3.9312,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.9636,                 1.7987,                 2.0442,                 1.8694,                0.61599,                0.11667,                0.10135,                0.03123,                0.69179,                0.16667,                0.14725,                0.05206,                 2.7091,                 3.9579,                 2.4929,                 2.1861,              0.0015383,              0.0015383,              0.0015383
                     41,                 2.0256,                 1.8513,                 1.9354,                 1.8038,                0.61991,                 0.1315,                0.06828,                 0.0207,                0.68072,                0.19816,                 0.1463,                0.04494,                 2.4292,                 1.7058,                 2.5697,                 2.0406,               0.001535,               0.001535,               0.001535
                     42,                 1.9171,                 1.6437,                 1.8592,                 1.8271,                0.61237,                   0.15,                0.08183,                0.03124,                0.63604,                0.18333,                0.12452,                 0.0502,                 2.6635,                 1.9056,                 2.9496,                 2.2185,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.9939,                 1.8872,                 1.8596,                 1.7339,                0.63931,                    0.1,                0.10659,                0.03636,                0.72711,                0.18042,                0.19527,                0.07044,                 2.7134,                 1.6997,                  2.242,                 2.2724,              0.0015284,              0.0015284,              0.0015284
                     44,                 2.0279,                 1.6324,                 1.8577,                 1.8022,                0.63458,                0.11667,                0.07051,                 0.0224,                0.70987,                0.13333,                0.13467,                0.05158,                 3.3272,                 2.6221,                 2.8285,                 2.4773,              0.0015251,              0.0015251,              0.0015251
                     45,                 2.1364,                 1.6566,                 1.8554,                 1.8616,                0.00172,                0.21667,                0.01164,                0.00176,                0.00093,                0.11667,                0.00344,                0.00082,                 3.7722,                 5.8132,                 3.3592,                 2.9581,              0.0015218,              0.0015218,              0.0015218
                     46,                 1.9886,                   1.53,                 1.7646,                 1.8597,                0.00523,                0.16667,                0.00459,                0.00122,                0.00575,                0.18333,                0.00477,                 0.0011,                 3.5067,                 3.3228,                 4.2675,                 2.9513,              0.0015185,              0.0015185,              0.0015185
