Unnamed: 0,Timestamp,ImageName,OutputPath,Label,Confidence,CoordinateStart,CoordinateEnd,ScanLength
,2024-08-02,sample_148.png,runs/segment/result/image\2024-08-02\sample_148.png,4.0,0.9642601013183594,"[814, 764]","[663, 1510]",761.1287670296006
,2024-08-02,sample_149.png,runs/segment/result/image\2024-08-02\sample_149.png,4.0,0.9662213921546936,"[816, 764]","[661, 1507]",758.9953886552935
,2024-08-02,sample_150.png,runs/segment/result/image\2024-08-02\sample_150.png,4.0,0.967010736465454,"[813, 764]","[665, 1510]",760.5392823516745
,2024-08-02,sample_151.png,runs/segment/result/image\2024-08-02\sample_151.png,4.0,0.9663906097412108,"[814, 764]","[661, 1507]",758.5894805492626
,2024-08-02,sample_152.png,runs/segment/result/image\2024-08-02\sample_152.png,4.0,0.966545820236206,"[815, 764]","[660, 1510]",761.9324117006705
,2024-08-02,sample_153.png,runs/segment/result/image\2024-08-02\sample_153.png,4.0,0.9663683176040648,"[814, 764]","[662, 1510]",761.3277874870981
,2024-08-02,sample_154.png,runs/segment/result/image\2024-08-02\sample_154.png,4.0,0.9669128656387328,"[815, 764]","[663, 1510]",761.3277874870981
,2024-08-02,sample_155.png,runs/segment/result/image\2024-08-02\sample_155.png,4.0,0.966696798801422,"[816, 764]","[662, 1510]",761.7296108200075
,2024-08-02,sample_156.png,runs/segment/result/image\2024-08-02\sample_156.png,4.0,0.9732939004898072,"[820, 419]","[709, 1174]",763.1159807001817
,2024-08-02,sample_157.png,runs/segment/result/image\2024-08-02\sample_157.png,4.0,0.9724798202514648,"[685, 419]","[562, 1174]",764.9535933636759
,2024-08-02,sample_158.png,runs/segment/result/image\2024-08-02\sample_158.png,4.0,0.9720987677574158,"[686, 419]","[561, 1174]",765.2777273643864
,2024-08-02,sample_159.png,runs/segment/result/image\2024-08-02\sample_159.png,4.0,0.9733919501304626,"[822, 419]","[702, 1174]",764.476945368531
,2024-08-02,sample_160.png,runs/segment/result/image\2024-08-02\sample_160.png,4.0,0.9735804796218872,"[819, 419]","[707, 1174]",763.2620781880887
,2024-08-03,sample_161.png,runs/segment/result/image\2024-08-03\sample_161.png,4.0,0.9716267585754396,"[686, 419]","[561, 1174]",765.2777273643864
,2024-08-03,sample_162.png,runs/segment/result/image\2024-08-03\sample_162.png,4.0,0.9707754850387572,"[822, 419]","[706, 1174]",763.8592802342589
,2024-08-03,sample_163.png,runs/segment/result/image\2024-08-03\sample_163.png,4.0,0.9732462167739868,"[820, 419]","[707, 1174]",763.4094576307003
,2024-08-03,sample_164.png,runs/segment/result/image\2024-08-03\sample_164.png,4.0,0.9716213345527648,"[823, 419]","[704, 1174]",764.3206133554164
,2024-08-03,sample_165.png,runs/segment/result/image\2024-08-03\sample_165.png,4.0,0.972284197807312,"[684, 419]","[562, 1174]",764.7934361643019
,2024-08-03,sample_166.png,runs/segment/result/image\2024-08-03\sample_166.png,4.0,0.9711836576461792,"[821, 419]","[707, 1174]",763.5581182857006
,2024-08-03,sample_167.png,runs/segment/result/image\2024-08-03\sample_167.png,4.0,0.972401797771454,"[684, 419]","[561, 1174]",764.9535933636759
,2024-08-03,sample_168.png,runs/segment/result/image\2024-08-03\sample_168.png,4.0,0.9722939729690552,"[685, 419]","[558, 1174]",765.6069487667938
,2024-08-03,sample_169.png,runs/segment/result/image\2024-08-03\sample_169.png,4.0,0.9720208644866944,"[687, 419]","[555, 1174]",766.4522163840353
,2024-08-03,sample_170.png,runs/segment/result/image\2024-08-03\sample_170.png,4.0,0.9716983437538148,"[686, 419]","[557, 1174]",765.9412510108069
,2024-08-03,sample_171.png,runs/segment/result/image\2024-08-03\sample_171.png,4.0,0.9757423400878906,"[450, 547]","[858, 1212]",780.1852344155201
,2024-08-03,sample_172.png,runs/segment/result/image\2024-08-03\sample_172.png,4.0,0.9764435291290284,"[449, 547]","[859, 1212]",781.232999815036
,2024-08-03,sample_173.png,runs/segment/result/image\2024-08-03\sample_173.png,4.0,0.9726575613021852,"[796, 368]","[523, 1094]",775.6320003713101
,2024-08-03,sample_174.png,runs/segment/result/image\2024-08-03\sample_174.png,0.0,0.9769798517227172,"[1411, 419]","[632, 1648]",1455.0883134710416
,2024-08-03,sample_175.png,runs/segment/result/image\2024-08-03\sample_175.png,0.0,0.9472671151161194,"[718, 9]","[1149, 572]",709.0345548702122
,2024-08-03,sample_176.png,runs/segment/result/image\2024-08-03\sample_176.png,0.0,0.9464259743690492,"[1260, 265]","[977, 1712]",1474.4144600484628
,2024-08-03,sample_177.png,runs/segment/result/image\2024-08-03\sample_177.png,0.0,0.9318084120750428,"[1136, 252]","[1138, 1315]",1063.0018814658797
,2024-08-03,sample_178.png,runs/segment/result/image\2024-08-03\sample_178.png,0.0,0.9490146636962892,"[1280, 380]","[859, 1776]",1458.1004766476142
,2024-08-05,sample_179.png,runs/segment/result/image\2024-08-05\sample_179.png,0.0,0.9560779333114624,"[1156, 1046]","[774, 2044]",1068.6103125087277
,2024-08-05,sample_180.png,runs/segment/result/image\2024-08-05\sample_180.png,0.0,0.9755795001983644,"[1802, 470]","[689, 1510]",1523.2757465409866
,2024-08-05,sample_181.png,runs/segment/result/image\2024-08-05\sample_181.png,0.0,0.9712352752685548,"[1822, 470]","[753, 1507]",1489.3387794588575
,2024-08-05,sample_182.png,runs/segment/result/image\2024-08-05\sample_182.png,0.0,0.9714486002922058,"[1826, 470]","[754, 1507]",1491.493546751041
,2024-08-05,sample_183.png,runs/segment/result/image\2024-08-05\sample_183.png,0.0,0.9641979932785034,"[596, 715]","[1923, 1343]",1468.0984299426248
,2024-08-05,sample_184.png,runs/segment/result/image\2024-08-05\sample_184.png,0.0,0.9737105369567872,"[1849, 496]","[1106, 1788]",1490.4069913953033
,2024-08-05,sample_185.png,runs/segment/result/image\2024-08-05\sample_185.png,0.0,0.9755085706710817,"[1832, 483]","[1108, 1788]",1492.38098352934
,2024-08-05,sample_186.png,runs/segment/result/image\2024-08-05\sample_186.png,0.0,0.9745957851409912,"[1848, 496]","[1108, 1788]",1488.9136979690932
,2024-08-05,sample_187.png,runs/segment/result/image\2024-08-05\sample_187.png,0.0,0.9739461541175842,"[1832, 486]","[1114, 1788]",1486.8517074678296
,2024-08-05,sample_188.png,runs/segment/result/image\2024-08-05\sample_188.png,0.0,0.9734939336776732,"[1847, 496]","[1102, 1788]",1491.405042233665
,2024-08-05,sample_189.png,runs/segment/result/image\2024-08-05\sample_189.png,0.0,0.9707132577896118,"[1890, 499]","[1078, 1776]",1513.2987147288536
,2024-08-05,sample_190.png,runs/segment/result/image\2024-08-05\sample_190.png,4.0,0.97199285030365,"[561, 918]","[780, 1660]",773.6439749652291
,2024-08-05,sample_191.png,runs/segment/result/image\2024-08-05\sample_191.png,4.0,0.97469961643219,"[557, 918]","[784, 1648]",764.479561531896
,2024-08-05,sample_192.png,runs/segment/result/image\2024-08-05\sample_192.png,0.0,0.9536565542221068,"[1059, 291]","[1154, 1776]",1488.0356178532825
,2024-08-05,sample_193.png,runs/segment/result/image\2024-08-05\sample_193.png,0.0,0.9687158465385436,"[1297, 278]","[847, 1712]",1502.9491009345593
,2024-08-05,sample_194.png,runs/segment/result/image\2024-08-05\sample_194.png,0.0,0.9624329209327698,"[1293, 278]","[873, 1708]",1490.4026301640774
,2024-08-05,sample_195.png,runs/segment/result/image\2024-08-05\sample_195.png,0.0,0.9642950296401978,"[1294, 278]","[874, 1708]",1490.4026301640774
,2024-08-05,sample_196.png,runs/segment/result/image\2024-08-05\sample_196.png,0.0,0.9620779752731324,"[1292, 278]","[877, 1705]",1486.1204527224568
,2024-08-05,sample_197.png,runs/segment/result/image\2024-08-05\sample_197.png,0.0,0.9639992713928224,"[1293, 278]","[876, 1708]",1489.560002148285
