                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.064,                 3.4171,                  4.794,                  1.964,                 0.5722,                    0.5,                0.08313,                0.07465,                 0.5722,                    0.5,                0.08292,                0.08292,                 3.4503,                 6.1956,                  6.574,                  2.947,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.3478,                 4.1756,                 16.149,                 1.8448,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00028058,             0.00028058,             0.00028058
                      3,                 3.0219,                 3.8414,                  4.624,                 2.4425,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00042484,             0.00042484,             0.00042484
                      4,                 2.9347,                 3.1634,                 3.9259,                 2.3182,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00056612,             0.00056612,             0.00056612
                      5,                 2.8744,                 3.3708,                 3.5181,                 2.3792,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00070443,             0.00070443,             0.00070443
                      6,                 3.0253,                 3.2649,                 3.3619,                 2.2914,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00083978,             0.00083978,             0.00083978
                      7,                 2.7151,                 2.9213,                 3.4384,                 2.3049,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00097215,             0.00097215,             0.00097215
                      8,                 2.9778,                 2.9837,                   3.06,                 2.4445,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      9,                 2.7483,                 2.9653,                 3.0004,                 2.3655,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001228,               0.001228,               0.001228
                     10,                 2.6831,                 2.6572,                 2.5836,                 2.2574,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0013514,              0.0013514,              0.0013514
                     11,                 2.6611,                 2.3821,                  2.494,                 2.2484,                0.00023,                0.06667,                0.00014,                  4e-05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0014719,              0.0014719,              0.0014719
